state;code
MG;3100609
MG;3101102
MG;3101508
MG;3102308
MG;3104601
MG;3105608
MG;3105707
MG;3106200
MG;3106309
MG;3106408
MG;3106705
MG;3107109
MG;3109006
MG;3109402
MG;3110004
MG;3110806
MG;3112059
MG;3112307
MG;3112901
MG;3113008
MG;3113206
MG;3113305
MG;3113404
MG;3113602
MG;3113701
MG;3114105
MG;3114501
MG;3115300
MG;3115904
MG;3116001
MG;3116100
MG;3117504
MG;3118007
MG;3118304
MG;3118601
MG;3119203
MG;3119401
MG;3121100
MG;3121704
MG;3121902
MG;3122504
MG;3122603
MG;3122900
MG;3123700
MG;3124005
MG;3124203
MG;3125002
MG;3125804
MG;3126703
MG;3126901
MG;3127701
MG;3128204
MG;3128808
MG;3129004
MG;3129301
MG;3129806
MG;3130903
MG;3131307
MG;3131703
MG;3132107
MG;3132404
MG;3132701
MG;3133006
MG;3133204
MG;3133501
MG;3135076
MG;3135209
MG;3135407
MG;3136207
MG;3136702
MG;3137007
MG;3137536
MG;3137700
MG;3137809
MG;3139201
MG;3139409
MG;3139508
MG;3139607
MG;3140001
MG;3140407
MG;3140605
MG;3140803
MG;3140852
MG;3142205
MG;3143153
MG;3143302
MG;3143708
MG;3143906
MG;3144003
MG;3144300
MG;3144359
MG;3144672
MG;3144805
MG;3145307
MG;3146107
MG;3146305
MG;3147808
MG;3148202
MG;3149903
MG;3149952
MG;3150109
MG;3150802
MG;3151107
MG;3151206
MG;3152105
MG;3152501
MG;3153400
MG;3153509
MG;3153905
MG;3154002
MG;3154150
MG;3154309
MG;3154606
MG;3154804
MG;3154903
MG;3155702
MG;3156205
MG;3156700
MG;3156809
MG;3157807
MG;3159605
MG;3160207
MG;3160702
MG;3161106
MG;3162302
MG;3162500
MG;3162906
MG;3164001
MG;3164100
MG;3165503
MG;3166006
MG;3167509
MG;3168606
MG;3168705
MG;3169307
MG;3169356
MG;3169901
MG;3170404
MG;3171006
MG;3171204
MG;3171303
MG;3171907
MG;3172004
ES;3200102
ES;3200169
ES;3200201
ES;3200300
ES;3200409
ES;3200508
ES;3200607
ES;3200706
ES;3200805
ES;3200904
ES;3201001
ES;3201100
ES;3201159
ES;3201209
ES;3201308
ES;3201407
ES;3201506
ES;3201605
ES;3201704
ES;3201902
ES;3202108
ES;3202207
ES;3202256
ES;3202306
ES;3202405
ES;3202454
ES;3202504
ES;3202553
ES;3202702
ES;3202801
ES;3202900
ES;3203007
ES;3203106
ES;3203130
ES;3203163
ES;3203205
ES;3203304
ES;3203346
ES;3203353
ES;3203403
ES;3203502
ES;3203601
ES;3203700
ES;3203809
ES;3203908
ES;3204005
ES;3204054
ES;3204104
ES;3204203
ES;3204252
ES;3204302
ES;3204351
ES;3204401
ES;3204500
ES;3204559
ES;3204609
ES;3204658
ES;3204708
ES;3204807
ES;3204906
ES;3204955
ES;3205002
ES;3205036
ES;3205101
ES;3205150
ES;3205200
ES;3205309
RJ;3300100
RJ;3300225
RJ;3300456
RJ;3300506
RJ;3300803
RJ;3301108
RJ;3302601
RJ;3303302
RJ;3303401
RJ;3303906
RJ;3304557
RJ;3304607
RJ;3305109
RJ;3305158
RJ;3305703
RJ;3305802
SP;3500501
SP;3500600
SP;3501152
SP;3501905
SP;3502002
SP;3502705
SP;3503802
SP;3504107
SP;3504503
SP;3505351
SP;3505401
SP;3506003
SP;3507605
SP;3508405
SP;3508801
SP;3509254
SP;3509502
SP;3509700
SP;3509908
SP;3510500
SP;3510609
SP;3511508
SP;3511607
SP;3511706
SP;3512308
SP;3512704
SP;3513504
SP;3513603
SP;3513801
SP;3514403
SP;3514809
SP;3515004
SP;3515103
SP;3515186
SP;3515509
SP;3516309
SP;3518305
SP;3518701
SP;3518800
SP;3520301
SP;3520426
SP;3521002
SP;3521200
SP;3522109
SP;3522158
SP;3522208
SP;3522653
SP;3523107
SP;3523305
SP;3523909
SP;3524600
SP;3525003
SP;3525508
SP;3526100
SP;3526209
SP;3526902
SP;3527009
SP;3528403
SP;3528502
SP;3529005
SP;3529401
SP;3529906
SP;3530904
SP;3531803
SP;3532009
SP;3534906
SP;3536000
SP;3536208
SP;3536802
SP;3537107
SP;3537206
SP;3537503
SP;3537602
SP;3538204
SP;3540507
SP;3541000
SP;3542602
SP;3542800
SP;3544004
SP;3544103
SP;3545159
SP;3547304
SP;3547809
SP;3548500
SP;3548708
SP;3549904
SP;3549953
SP;3550308
SP;3550407
SP;3551801
SP;3552205
SP;3552403
SP;3552809
SP;3553500
SP;3555406
SP;3556404
SP;3557006
SP;3557303
PR;4100400
PR;4101200
PR;4101408
PR;4103305
PR;4103602
PR;4104006
PR;4104204
PR;4104253
PR;4104451
PR;4104600
PR;4105201
PR;4105805
PR;4106902
PR;4107652
PR;4108304
PR;4108403
PR;4108502
PR;4109302
PR;4111258
PR;4111555
PR;4111902
PR;4112009
PR;4116208
PR;4118204
PR;4118501
PR;4119152
PR;4119509
PR;4121000
PR;4122206
PR;4122305
PR;4125506
PR;4125605
PR;4125704
PR;4127908
PR;4128104
PR;4128203
SC;4200606
SC;4200705
SC;4201109
SC;4201208
SC;4201406
SC;4202008
SC;4202107
SC;4202206
SC;4202404
SC;4202453
SC;4202701
SC;4202800
SC;4202909
SC;4203006
SC;4203204
SC;4203709
SC;4204509
SC;4204558
SC;4204608
SC;4205407
SC;4205456
SC;4205704
SC;4205803
SC;4205902
SC;4206009
SC;4207106
SC;4208203
SC;4208302
SC;4208401
SC;4208450
SC;4208500
SC;4208708
SC;4208906
SC;4209003
SC;4209102
SC;4209151
SC;4209300
SC;4210001
SC;4210100
SC;4210407
SC;4210803
SC;4210852
SC;4211207
SC;4211306
SC;4211504
SC;4211603
SC;4211900
SC;4212106
SC;4212502
SC;4212809
SC;4213203
SC;4213302
SC;4213351
SC;4213500
SC;4213609
SC;4214003
SC;4214300
SC;4214508
SC;4214805
SC;4214904
SC;4215000
SC;4215109
SC;4215703
SC;4215802
SC;4216305
SC;4216602
SC;4217402
SC;4217808
SC;4218004
SC;4218103
SC;4218202
SC;4218301
SC;4218707
SC;4218806
SC;4218905
SC;4219200
SC;4219507
RS;4300406
RS;4300570
RS;4301305
RS;4303004
RS;4304200
RS;4304663
RS;4305108
RS;4306205
RS;4306601
RS;4306767
RS;4306809
RS;4307807
RS;4308300
RS;4309605
RS;4310108
RS;4310603
RS;4310652
RS;4311007
RS;4311403
RS;4313409
RS;4314050
RS;4314209
RS;4314407
RS;4314902
RS;4315305
RS;4316006
RS;4316402
RS;4316907
RS;4318408
RS;4318804
RS;4319505
RS;4320008
RS;4320800
RS;4321303
RS;4321451
RS;4321501
RS;4321709
RS;4322400
RS;4322608
SC;
SC;
