".";"(1)";"(2)";"(3)";"(4)";"(5)";"(6)"
"";"0.025";"0.027";"0.035";"0.063";"0.005";"0.01"
"Coef";"(0.02)";"(0.03)";"(0.03)";"(0.06)";"(0.02)";"(0.02)"
"";"fit_map_risco_inund";"fit_map_risco_inund";"fit_fisc_ench";"fit_fisc_ench";"fit_sist_alert_ench";"fit_sist_alert_ench"
"";"0.28***";"0.27***";"0.268**";"0.186";"0.642***";"0.58***"
"Coef";"(0.08)";"(0.08)";"(0.11)";"(0.11)";"(0.13)";"(0.13)"
"";"z_mean_map_risco_inund";"z_mean_map_risco_inund";"z_mean_fisc_ench";"z_mean_fisc_ench";"z_mean_sist_alert_ench";"z_mean_sist_alert_ench"
"Controls";"No";"Yes";"No";"Yes";"No";"Yes"
"KP F-Statistic - First Stage";"12.12";"11.08";"6.19";"2.89";"33.09";"25.41"
"Wu-Hausman";"0.24";"0.10";"0.76";"1.00";"0.07";"0.04"
"Number of Observations";"301";"301";"301";"301";"301";"301"
